"STATISTIC","STATISTIC Label","TLIST(Q1)","Quarter","C02342V02816","Type of House","C03789V04537","Local Authority","UNIT","VALUE"
"NDQ06","New Dwelling Completion","20112","2011Q2","08","Apartment","2ae19629-14a8-13a3-e055-000000000001","Kilkenny County Council","Number","0"
"NDQ06","New Dwelling Completion","20112","2011Q2","08","Apartment","2ae19629-14a6-13a3-e055-000000000001","Kerry County Council","Number","0"
"NDQ06","New Dwelling Completion","20112","2011Q2","08","Apartment","2ae19629-1490-13a3-e055-000000000001","Longford County Council","Number","2"
"NDQ06","New Dwelling Completion","20112","2011Q2","08","Apartment","2ae19629-1491-13a3-e055-000000000001","Louth County Council","Number","6"
"NDQ06","New Dwelling Completion","20112","2011Q2","08","Apartment","2ae19629-148f-13a3-e055-000000000001","Limerick City & County Council","Number","1"
"NDQ06","New Dwelling Completion","20112","2011Q2","08","Apartment","2ae19629-148e-13a3-e055-000000000001","Leitrim County Council","Number","0"
"NDQ06","New Dwelling Completion","20112","2011Q2","08","Apartment","2ae19629-148d-13a3-e055-000000000001","Laois County Council","Number","1"
"NDQ06","New Dwelling Completion","20112","2011Q2","08","Apartment","2ae19629-1494-13a3-e055-000000000001","Meath County Council","Number","3"
"NDQ06","New Dwelling Completion","20112","2011Q2","08","Apartment","2ae19629-1495-13a3-e055-000000000001","Monaghan County Council","Number","1"
"NDQ06","New Dwelling Completion","20112","2011Q2","08","Apartment","2ae19629-1493-13a3-e055-000000000001","Mayo County Council","Number","4"
"NDQ06","New Dwelling Completion","20112","2011Q2","08","Apartment","2ae19629-1496-13a3-e055-000000000001","Offaly County Council","Number","0"
"NDQ06","New Dwelling Completion","20112","2011Q2","08","Apartment","2ae19629-1497-13a3-e055-000000000001","Roscommon County Council","Number","2"
"NDQ06","New Dwelling Completion","20112","2011Q2","08","Apartment","2ae19629-14a1-13a3-e055-000000000001","South Dublin County Council","Number","1"
"NDQ06","New Dwelling Completion","20112","2011Q2","08","Apartment","2ae19629-1498-13a3-e055-000000000001","Sligo County Council","Number","0"
"NDQ06","New Dwelling Completion","20112","2011Q2","08","Apartment","2ae19629-1499-13a3-e055-000000000001","Tipperary County Council","Number","0"
"NDQ06","New Dwelling Completion","20112","2011Q2","08","Apartment","2ae19629-149a-13a3-e055-000000000001","Waterford City & County Council","Number","0"
"NDQ06","New Dwelling Completion","20112","2011Q2","08","Apartment","2ae19629-149b-13a3-e055-000000000001","Westmeath County Council","Number","1"
"NDQ06","New Dwelling Completion","20112","2011Q2","08","Apartment","2ae19629-149e-13a3-e055-000000000001","Wicklow County Council","Number","4"
"NDQ06","New Dwelling Completion","20112","2011Q2","08","Apartment","2ae19629-149c-13a3-e055-000000000001","Wexford County Council","Number","0"
"NDQ06","New Dwelling Completion","20112","2011Q2","08","Apartment","-","Ireland","Number","217"
"NDQ06","New Dwelling Completion","20112","2011Q2","-","All house types","2ae19629-1434-13a3-e055-000000000001","Cork City Council","Number","36"
"NDQ06","New Dwelling Completion","20112","2011Q2","-","All house types","2ae19629-14a2-13a3-e055-000000000001","Clare County Council","Number","49"
"NDQ06","New Dwelling Completion","20112","2011Q2","-","All house types","2ae19629-149d-13a3-e055-000000000001","Cavan County Council","Number","28"
"NDQ06","New Dwelling Completion","20112","2011Q2","-","All house types","2ae19629-14a3-13a3-e055-000000000001","Cork County Council","Number","200"
"NDQ06","New Dwelling Completion","20112","2011Q2","-","All house types","2ae19629-1492-13a3-e055-000000000001","Carlow County Council","Number","24"
"NDQ06","New Dwelling Completion","20112","2011Q2","-","All house types","2ae19629-1433-13a3-e055-000000000001","Dublin City Council","Number","109"
"NDQ06","New Dwelling Completion","20112","2011Q2","-","All house types","2ae19629-149f-13a3-e055-000000000001","Dún Laoghaire Rathdown County Council","Number","68"
"NDQ06","New Dwelling Completion","20112","2011Q2","-","All house types","2ae19629-14a4-13a3-e055-000000000001","Donegal County Council","Number","139"
"NDQ06","New Dwelling Completion","20112","2011Q2","-","All house types","2ae19629-14a0-13a3-e055-000000000001","Fingal County Council","Number","134"
"NDQ06","New Dwelling Completion","20112","2011Q2","-","All house types","2ae19629-14a5-13a3-e055-000000000001","Galway County Council","Number","108"
"NDQ06","New Dwelling Completion","20112","2011Q2","-","All house types","2ae19629-1435-13a3-e055-000000000001","Galway City Council","Number","17"
"NDQ06","New Dwelling Completion","20112","2011Q2","-","All house types","2ae19629-14a7-13a3-e055-000000000001","Kildare County Council","Number","42"
"NDQ06","New Dwelling Completion","20112","2011Q2","-","All house types","2ae19629-14a8-13a3-e055-000000000001","Kilkenny County Council","Number","50"
"NDQ06","New Dwelling Completion","20112","2011Q2","-","All house types","2ae19629-14a6-13a3-e055-000000000001","Kerry County Council","Number","67"
"NDQ06","New Dwelling Completion","20112","2011Q2","-","All house types","2ae19629-1490-13a3-e055-000000000001","Longford County Council","Number","14"
"NDQ06","New Dwelling Completion","20112","2011Q2","-","All house types","2ae19629-1491-13a3-e055-000000000001","Louth County Council","Number","53"
"NDQ06","New Dwelling Completion","20112","2011Q2","-","All house types","2ae19629-148f-13a3-e055-000000000001","Limerick City & County Council","Number","49"
"NDQ06","New Dwelling Completion","20112","2011Q2","-","All house types","2ae19629-148e-13a3-e055-000000000001","Leitrim County Council","Number","13"
"NDQ06","New Dwelling Completion","20112","2011Q2","-","All house types","2ae19629-148d-13a3-e055-000000000001","Laois County Council","Number","33"
"NDQ06","New Dwelling Completion","20112","2011Q2","-","All house types","2ae19629-1494-13a3-e055-000000000001","Meath County Council","Number","64"
"NDQ06","New Dwelling Completion","20112","2011Q2","-","All house types","2ae19629-1495-13a3-e055-000000000001","Monaghan County Council","Number","21"
"NDQ06","New Dwelling Completion","20112","2011Q2","-","All house types","2ae19629-1493-13a3-e055-000000000001","Mayo County Council","Number","59"
"NDQ06","New Dwelling Completion","20112","2011Q2","-","All house types","2ae19629-1496-13a3-e055-000000000001","Offaly County Council","Number","36"
"NDQ06","New Dwelling Completion","20112","2011Q2","-","All house types","2ae19629-1497-13a3-e055-000000000001","Roscommon County Council","Number","54"
"NDQ06","New Dwelling Completion","20112","2011Q2","-","All house types","2ae19629-14a1-13a3-e055-000000000001","South Dublin County Council","Number","16"
"NDQ06","New Dwelling Completion","20112","2011Q2","-","All house types","2ae19629-1498-13a3-e055-000000000001","Sligo County Council","Number","34"
"NDQ06","New Dwelling Completion","20112","2011Q2","-","All house types","2ae19629-1499-13a3-e055-000000000001","Tipperary County Council","Number","94"
"NDQ06","New Dwelling Completion","20112","2011Q2","-","All house types","2ae19629-149a-13a3-e055-000000000001","Waterford City & County Council","Number","29"
"NDQ06","New Dwelling Completion","20112","2011Q2","-","All house types","2ae19629-149b-13a3-e055-000000000001","Westmeath County Council","Number","37"
"NDQ06","New Dwelling Completion","20112","2011Q2","-","All house types","2ae19629-149e-13a3-e055-000000000001","Wicklow County Council","Number","37"
"NDQ06","New Dwelling Completion","20112","2011Q2","-","All house types","2ae19629-149c-13a3-e055-000000000001","Wexford County Council","Number","77"
"NDQ06","New Dwelling Completion","20112","2011Q2","-","All house types","-","Ireland","Number","1791"
"NDQ06","New Dwelling Completion","20113","2011Q3","06","Single house","2ae19629-1434-13a3-e055-000000000001","Cork City Council","Number","9"
"NDQ06","New Dwelling Completion","20113","2011Q3","06","Single house","2ae19629-14a2-13a3-e055-000000000001","Clare County Council","Number","41"
"NDQ06","New Dwelling Completion","20113","2011Q3","06","Single house","2ae19629-149d-13a3-e055-000000000001","Cavan County Council","Number","43"
"NDQ06","New Dwelling Completion","20113","2011Q3","06","Single house","2ae19629-14a3-13a3-e055-000000000001","Cork County Council","Number","145"
"NDQ06","New Dwelling Completion","20113","2011Q3","06","Single house","2ae19629-1492-13a3-e055-000000000001","Carlow County Council","Number","22"
"NDQ06","New Dwelling Completion","20113","2011Q3","06","Single house","2ae19629-1433-13a3-e055-000000000001","Dublin City Council","Number","17"
"NDQ06","New Dwelling Completion","20113","2011Q3","06","Single house","2ae19629-149f-13a3-e055-000000000001","Dún Laoghaire Rathdown County Council","Number","11"
"NDQ06","New Dwelling Completion","20113","2011Q3","06","Single house","2ae19629-14a4-13a3-e055-000000000001","Donegal County Council","Number","99"
"NDQ06","New Dwelling Completion","20113","2011Q3","06","Single house","2ae19629-14a0-13a3-e055-000000000001","Fingal County Council","Number","16"
"NDQ06","New Dwelling Completion","20113","2011Q3","06","Single house","2ae19629-14a5-13a3-e055-000000000001","Galway County Council","Number","95"
"NDQ06","New Dwelling Completion","20113","2011Q3","06","Single house","2ae19629-1435-13a3-e055-000000000001","Galway City Council","Number","5"
"NDQ06","New Dwelling Completion","20113","2011Q3","06","Single house","2ae19629-14a7-13a3-e055-000000000001","Kildare County Council","Number","35"
"NDQ06","New Dwelling Completion","20113","2011Q3","06","Single house","2ae19629-14a8-13a3-e055-000000000001","Kilkenny County Council","Number","45"
"NDQ06","New Dwelling Completion","20113","2011Q3","06","Single house","2ae19629-14a6-13a3-e055-000000000001","Kerry County Council","Number","55"
"NDQ06","New Dwelling Completion","20113","2011Q3","06","Single house","2ae19629-1490-13a3-e055-000000000001","Longford County Council","Number","8"
"NDQ06","New Dwelling Completion","20113","2011Q3","06","Single house","2ae19629-1491-13a3-e055-000000000001","Louth County Council","Number","25"
"NDQ06","New Dwelling Completion","20113","2011Q3","06","Single house","2ae19629-148f-13a3-e055-000000000001","Limerick City & County Council","Number","41"
"NDQ06","New Dwelling Completion","20113","2011Q3","06","Single house","2ae19629-148e-13a3-e055-000000000001","Leitrim County Council","Number","14"
"NDQ06","New Dwelling Completion","20113","2011Q3","06","Single house","2ae19629-148d-13a3-e055-000000000001","Laois County Council","Number","21"
"NDQ06","New Dwelling Completion","20113","2011Q3","06","Single house","2ae19629-1494-13a3-e055-000000000001","Meath County Council","Number","52"
"NDQ06","New Dwelling Completion","20113","2011Q3","06","Single house","2ae19629-1495-13a3-e055-000000000001","Monaghan County Council","Number","29"
"NDQ06","New Dwelling Completion","20113","2011Q3","06","Single house","2ae19629-1493-13a3-e055-000000000001","Mayo County Council","Number","75"
"NDQ06","New Dwelling Completion","20113","2011Q3","06","Single house","2ae19629-1496-13a3-e055-000000000001","Offaly County Council","Number","24"
"NDQ06","New Dwelling Completion","20113","2011Q3","06","Single house","2ae19629-1497-13a3-e055-000000000001","Roscommon County Council","Number","30"
"NDQ06","New Dwelling Completion","20113","2011Q3","06","Single house","2ae19629-14a1-13a3-e055-000000000001","South Dublin County Council","Number","8"
"NDQ06","New Dwelling Completion","20113","2011Q3","06","Single house","2ae19629-1498-13a3-e055-000000000001","Sligo County Council","Number","25"
"NDQ06","New Dwelling Completion","20113","2011Q3","06","Single house","2ae19629-1499-13a3-e055-000000000001","Tipperary County Council","Number","60"
"NDQ06","New Dwelling Completion","20113","2011Q3","06","Single house","2ae19629-149a-13a3-e055-000000000001","Waterford City & County Council","Number","23"
"NDQ06","New Dwelling Completion","20113","2011Q3","06","Single house","2ae19629-149b-13a3-e055-000000000001","Westmeath County Council","Number","21"
"NDQ06","New Dwelling Completion","20113","2011Q3","06","Single house","2ae19629-149e-13a3-e055-000000000001","Wicklow County Council","Number","42"
"NDQ06","New Dwelling Completion","20113","2011Q3","06","Single house","2ae19629-149c-13a3-e055-000000000001","Wexford County Council","Number","61"
"NDQ06","New Dwelling Completion","20113","2011Q3","06","Single house","-","Ireland","Number","1197"
"NDQ06","New Dwelling Completion","20113","2011Q3","07","Scheme house","2ae19629-1434-13a3-e055-000000000001","Cork City Council","Number","7"
"NDQ06","New Dwelling Completion","20113","2011Q3","07","Scheme house","2ae19629-14a2-13a3-e055-000000000001","Clare County Council","Number","1"
"NDQ06","New Dwelling Completion","20113","2011Q3","07","Scheme house","2ae19629-149d-13a3-e055-000000000001","Cavan County Council","Number","2"
"NDQ06","New Dwelling Completion","20113","2011Q3","07","Scheme house","2ae19629-14a3-13a3-e055-000000000001","Cork County Council","Number","17"
"NDQ06","New Dwelling Completion","20113","2011Q3","07","Scheme house","2ae19629-1492-13a3-e055-000000000001","Carlow County Council","Number","2"
"NDQ06","New Dwelling Completion","20113","2011Q3","07","Scheme house","2ae19629-1433-13a3-e055-000000000001","Dublin City Council","Number","4"
"NDQ06","New Dwelling Completion","20113","2011Q3","07","Scheme house","2ae19629-149f-13a3-e055-000000000001","Dún Laoghaire Rathdown County Council","Number","0"
"NDQ06","New Dwelling Completion","20113","2011Q3","07","Scheme house","2ae19629-14a4-13a3-e055-000000000001","Donegal County Council","Number","15"
"NDQ06","New Dwelling Completion","20113","2011Q3","07","Scheme house","2ae19629-14a0-13a3-e055-000000000001","Fingal County Council","Number","20"
"NDQ06","New Dwelling Completion","20113","2011Q3","07","Scheme house","2ae19629-14a5-13a3-e055-000000000001","Galway County Council","Number","6"
"NDQ06","New Dwelling Completion","20113","2011Q3","07","Scheme house","2ae19629-1435-13a3-e055-000000000001","Galway City Council","Number","0"
"NDQ06","New Dwelling Completion","20113","2011Q3","07","Scheme house","2ae19629-14a7-13a3-e055-000000000001","Kildare County Council","Number","7"
"NDQ06","New Dwelling Completion","20113","2011Q3","07","Scheme house","2ae19629-14a8-13a3-e055-000000000001","Kilkenny County Council","Number","39"
"NDQ06","New Dwelling Completion","20113","2011Q3","07","Scheme house","2ae19629-14a6-13a3-e055-000000000001","Kerry County Council","Number","19"
"NDQ06","New Dwelling Completion","20113","2011Q3","07","Scheme house","2ae19629-1490-13a3-e055-000000000001","Longford County Council","Number","4"
"NDQ06","New Dwelling Completion","20113","2011Q3","07","Scheme house","2ae19629-1491-13a3-e055-000000000001","Louth County Council","Number","5"
"NDQ06","New Dwelling Completion","20113","2011Q3","07","Scheme house","2ae19629-148f-13a3-e055-000000000001","Limerick City & County Council","Number","12"
